year,pop,Reproduction,PupRecruitment,Removals,Released,Translocations,poaching,mort
1998,4,1,0,6,13,3,4,5
1999,15,18,11,12,21,2,0,3
2000,22,7,5,23,16,18,2,5
2001,26,5,3,10,15,6,4,9
2002,41,21,20,7,9,7,3,3
2003,55,22,21,15,8,15,7,12
2004,46,22,18,7,5,9,1,3
2005,42,28,13,21,0,16,3,4
2006,59,31,21,18,4,6,1,6
2007,52,27,9,23,0,5,2,4
2008,52,18,11,2,1,6,7,13
2009,42,31,7,7,0,6,4,8
2010,50,18,14,0,0,1,5,6
2011,67,40,27,2,0,4,3,8
2012,80,29,23,1,0,0,4,4
2013,88,30,19,6,1,3,5,7
2014,112,44,40,13,2,12,7,11
2015,98,42,23,4,1,1,8,13
2016,114,65,50,2,6,0,7,14
2017,117,54,29,10,4,2,6,12
2018,131,83,45,4,8,5,13,21
2019,163,90,52,9,12,6,9,14
